Year,US_foreign,US_JV,atSea_US_MS,atSea_US_CP,US_shore,USresearch,Ustotal,CAN_forgn,CAN_JV,CAN_Shoreside,CAN_FreezeTrawl,CANtotal,TOTAL,TACUSA,TACCAN,TAC
1966,137000,0,0,0,0,0,137000,700,0,0,0,700,137700,,,
1967,168700,0,0,0,8960,0,177660,36710,0,0,0,36710,214370,,,
1968,60660,0,0,0,160,0,60820,61360,0,0,0,61360,122180,,,
1969,86190,0,0,0,90,0,86280,93850,0,0,0,93850,180130,,,
1970,159510,0,0,0,70,0,159580,75010,0,0,0,75010,234590,,,
1971,126490,0,0,0,1430,0,127920,26700,0,0,0,26700,154620,,,
1972,74090,0,0,0,40,0,74130,43410,0,0,0,43410,117540,,,
1973,147440,0,0,0,70,0,147510,15130,0,0,0,15130,162640,,,
1974,194110,0,0,0,0,0,194110,17150,0,0,0,17150,211260,,,
1975,205650,0,0,0,0,0,205650,15700,0,0,0,15700,221350,,,
1976,231330,0,0,0,220,0,231550,5970,0,0,0,5970,237520,,,
1977,127010,0,0,0,490,0,127500,5190,0,0,0,5190,132690,,,
1978,96827.431,860,0,0,690,0,98377.431,3450,1810,0,0,5260,103637,,,
1979,114910,8830,0,0,940,0,124680,7900,4230,300,0,12430,137110,,,
1980,44022.879,27537.036,0,0,790,0,72349.915,5270,12210,100,0,17580,89930,,,
1981,70364.65056,43556.51998,0,0,838.48194,0,114759.6525,3920,17160,3280,0,24360,139120,,,
1982,7089.39046,67464.90015,0,0,1026.56738,0,75580.85799,12480,19680,0,0,32160,107741,,,
1983,0,72100.22045,0,0,1050.79742,0,73151.01787,13120,27660,0,0,40780,113931,,,
1984,14772.34988,78889.06969,0,0,2720.67887,0,96382.09844,13200,28910,0,0,42110,138492,,,
1985,49853.24004,31691.92058,0,0,3894.02573,0,85439.18635,10530,13240,1190,0,24960,110399,,,
1986,69861.02959,81639.5202,0,0,3465.35818,0,154965.908,23740,30140,1770,0,55650,210616,,,
1987,49655.70935,105996.6203,0,0,4795.30946,0,160447.6391,21450,48080,4170,0,73700,234148,,,
1988,18040.97987,135781.1791,0,0,6867.43293,0,160689.5919,38080,49240,830,0,88150,248840,,,
1989,0,195635.9001,0,0,7413.60327,0,203049.5034,29750,62717.62,2561.85362,0,95029.47362,298079,,,
1990,0,170972.4303,0,4537.006718,9632.38472,0,185141.8217,3810,68313.51,4020.740676,0,76144.25068,261286,,,
1991,0,0,86408.03695,119410.6691,23970.02433,0,229788.7304,5610,68132.52,16174.183,0,89916.703,319705,,,
1992,0,0,36720.7401,117980.7282,56127.31581,0,210828.7841,0,68778.624,20042.876,0,88821.5,299650,,,
1993,0,0,14558.47883,83465.65773,42107.91254,0,140132.0491,0,46421.509,12351.512,0,58773.021,198905,,,
1994,0,0,93609.52866,86251.20862,73616.3552,0,253477.0925,0,85153.949,23775.807,0,108929.756,362407,,,
1995,0,0,40804.92274,61357.0194,74962.03836,0,177123.9805,0,26190.761,46180.797,0,72371.558,249496,,,
1996,0,0,62097.94774,65933.45994,85127.85378,0,213159.2615,0,66778.981,26360.37089,0,93139.35189,306299,,,
1997,0,0,75127.70582,70832.24411,87416.20279,0,233376.1527,0,42544.097,49226.69821,0,91770.79521,325147,,,
1998,0,0,74686.49565,70377.46922,87856.21785,0,232920.1827,0,39728.47,48073.73341,0,87802.20341,320722,,,
1999,0,0,73439.92141,67654.94531,83470.39082,0,224565.2575,0,17200.663,70120.91147,0,87321.57447,311887,,,
2000,0,0,53110.31272,67805.45036,85853.91995,0,206769.683,0,15625.196,6382.07132,0,22007.26732,228777,,,
2001,0,0,41900.81491,58627.61663,73411.73218,0,173940.1637,0,21650.118,31935.03558,0,53585.15358,227525,,,
2002,0,0,48403.74751,36341.56246,45707.71471,0,130453.0247,0,0,50244.41704,0,50244.41704,180697,,,162000
2003,0,0,45395.8006,41214.38445,55335.06545,0,141945.2505,0,0,63217.23147,0,63217.23147,205162,,,228000
2004,0,0,47561.24366,73175.55232,96503.52215,0,217240.3181,0,58891.967,66175.03795,0,125067.005,342307,,,501073
2005,0,0,72178.04843,78889.96062,109052.3673,0,260120.3764,0,15694.557,77335.01977,9984.78934,103014.3661,363135,269068.7436,95128.2564,364197
2006,0,0,60926.21576,78863.939,127165.1505,0.04989522,266955.3551,0,14318.643,65288.75731,15136.38929,94743.7896,361699,269545.2696,95296.7304,364842
2007,0,0,52976.90891,73263.4394,91441.27106,0.004535929,217681.6239,0,6780.390378,55390.08805,13536.56346,75707.04189,293389,242590.8904,85767.1096,328358
2008,0,0,72439.75381,108195.1449,67759.91903,0,248394.8177,0,3592.281476,57196.83308,12517.29468,73306.40924,321701,269545.2696,95296.7304,364842
2009,0,0,37549.81829,34551.92087,49222.89057,0,121324.6297,0,0,43773.50533,12073.38515,55846.89048,177172,135939.2,48060.8,184000
2010,0,0,52022.30183,54284.44254,64653.80655,0,170960.5509,0,8081.449786,38779.88651,12850.22967,59711.56596,230672,193935,68565,262500
2011,0,0,56394.489,71678.21577,102146.7405,1042.317497,231261.7628,0,9716.610818,36632.18424,14060.41366,60409.20872,291671,290903.2388,102847.7612,393751
2012,0,0,38512.35961,55263.84165,65919.87916,448.4754742,160144.5559,0,0,31164.03024,14478.37499,45642.40523,205787,186036.4892,65772.5108,251809
2013,0,0,52470.43191,77949.5153,102142.9296,1017.968176,233580.8449,0,0,33450.51,18582.97045,52033.48045,285614,269744.7456,95367.2544,365112
2014,0,0,62101.51462,103203.2669,98637.63711,196.7155337,264139.1342,0,0,13183.57697,21379.89449,34563.47146,298703,316206.4,111793.6,428000
2015,0,0,27660.67702,68484.34238,58010.44561,0,154155.465,0,0,16450.68851,20056.62992,36507.31843,190663,325072,114928,440000
2016,0,0,65035.4585,108785.8092,85293.4364,571.9607431,259686.6648,0,0,35011.79,34728.8,69740.59,329427,367553,129947,497500
