,Source,Weight_kg,Sex,Age_yrs,Month,Year
1,CAN_polish,0.98,U,12,9,1982
2,CAN_polish,0.76,U,5,9,1982
3,CAN_polish,1.27,U,12,9,1982
4,CAN_polish,0.9,U,12,9,1982
5,CAN_polish,1.03,U,11,9,1982
6,CAN_polish,0.98,U,13,9,1982
7,CAN_polish,0.9,U,12,9,1982
8,CAN_polish,0.93,U,9,9,1982
9,CAN_polish,0.78,U,5,9,1982
10,CAN_polish,0.75,U,12,9,1982
11,CAN_polish,0.86,U,6,9,1982
12,CAN_polish,0.88,U,5,9,1982
13,CAN_polish,1.41,U,6,9,1982
14,CAN_polish,1.56,U,12,9,1982
15,CAN_polish,0.99,U,12,9,1982
16,CAN_polish,0.78,U,13,9,1982
17,CAN_polish,0.93,U,12,9,1982
18,CAN_polish,0.96,U,12,9,1982
19,CAN_polish,1.13,U,10,9,1982
20,CAN_polish,0.78,U,5,9,1982
21,CAN_polish,0.91,U,9,9,1982
22,CAN_polish,1,U,12,9,1982
23,CAN_polish,1.03,U,5,9,1982
24,CAN_polish,0.73,U,12,9,1982
25,CAN_polish,1.04,U,14,9,1982
26,CAN_polish,0.78,U,5,9,1982
27,CAN_polish,0.72,U,9,9,1982
28,CAN_polish,0.83,U,9,9,1982
29,CAN_polish,0.83,U,9,9,1982
30,CAN_polish,1.08,U,9,9,1982
31,CAN_polish,1.09,U,9,9,1982
32,CAN_polish,0.85,U,12,9,1982
33,CAN_polish,0.74,U,13,9,1982
34,CAN_polish,1.04,U,11,9,1982
35,CAN_polish,0.89,U,8,9,1982
36,CAN_polish,0.96,U,12,9,1982
37,CAN_polish,1.15,U,12,9,1982
38,CAN_polish,0.93,U,12,9,1982
39,CAN_polish,1,U,12,9,1982
40,CAN_polish,1.07,U,10,9,1982
41,CAN_polish,0.94,U,12,9,1982
42,CAN_polish,1.05,U,5,9,1982
43,CAN_polish,1.32,U,12,9,1982
44,CAN_polish,0.86,U,11,9,1982
45,CAN_polish,0.91,U,12,9,1982
46,CAN_polish,0.86,U,9,9,1982
47,CAN_polish,0.79,U,13,9,1982
48,CAN_polish,0.92,U,5,9,1982
49,CAN_polish,1.08,U,5,9,1982
50,CAN_polish,1.23,U,14,9,1982
51,CAN_polish,1.28,U,13,9,1982
52,CAN_polish,0.93,U,8,9,1982
53,CAN_polish,0.83,U,12,9,1982
54,CAN_polish,0.91,U,5,9,1982
55,CAN_polish,1.07,U,12,9,1982
56,CAN_polish,1.16,U,6,9,1982
57,CAN_polish,0.83,U,8,9,1982
58,CAN_polish,1.38,U,9,9,1982
59,CAN_polish,0.99,U,9,9,1982
60,CAN_polish,0.94,U,7,9,1982
61,CAN_polish,1.06,U,7,9,1982
62,CAN_polish,0.88,U,12,9,1982
63,CAN_polish,1.16,U,5,9,1982
64,CAN_polish,0.84,U,9,9,1982
65,CAN_polish,1.11,U,9,9,1982
66,CAN_polish,0.96,U,5,9,1982
67,CAN_polish,0.91,U,5,9,1982
68,CAN_polish,1.06,U,9,9,1982
69,CAN_polish,1.18,U,6,9,1982
70,CAN_polish,1.23,U,9,9,1982
71,CAN_polish,0.77,U,5,9,1982
72,CAN_polish,0.76,U,5,9,1982
73,CAN_polish,0.88,U,5,9,1982
74,CAN_polish,0.87,U,5,9,1982
75,CAN_polish,0.95,U,12,9,1982
76,CAN_polish,0.79,U,5,9,1982
77,CAN_polish,0.76,U,13,9,1982
78,CAN_polish,0.99,U,12,9,1982
79,CAN_polish,1.28,U,9,9,1982
80,CAN_polish,1.36,U,10,9,1982
81,CAN_polish,1.05,U,14,9,1982
82,CAN_polish,0.81,U,12,9,1982
83,CAN_polish,0.75,U,12,9,1982
84,CAN_polish,0.86,U,12,9,1982
85,CAN_polish,1.06,U,10,9,1982
86,CAN_polish,0.99,U,8,9,1982
87,CAN_polish,0.91,U,10,9,1982
88,CAN_polish,1.04,U,14,9,1982
89,CAN_polish,1.15,U,12,9,1982
90,CAN_polish,1.18,U,11,9,1982
91,CAN_polish,1.02,U,9,9,1982
92,CAN_polish,0.93,U,9,9,1982
93,CAN_polish,0.74,U,10,9,1982
94,CAN_polish,0.94,U,8,9,1982
95,CAN_polish,0.92,U,7,9,1982
96,CAN_polish,0.98,U,12,9,1982
97,CAN_polish,1.06,U,9,9,1982
98,CAN_polish,1.08,U,12,9,1982
99,CAN_polish,1.59,U,12,9,1982
100,CAN_polish,0.92,U,8,9,1982
101,CAN_polish,0.78,U,4,9,1982
102,CAN_polish,1.08,U,5,9,1982
103,CAN_polish,1.24,U,9,9,1982
104,CAN_polish,1.06,U,12,9,1982
